"","vote16","reltrad","age"
"616",NA,"Evangelical",57
"617","Hillary Clinton","Evangelical",61
"618","Donald Trump","Evangelical",67
"619","Donald Trump","Evangelical",73
"620","Hillary Clinton","Evangelical",75
"621","Hillary Clinton","Evangelical",69
"622","Donald Trump","Evangelical",87
"623",NA,"Evangelical",66
"624","Donald Trump","Evangelical",84
"625","Donald Trump","Evangelical",71
"626","Donald Trump","Evangelical",64
"627",NA,"Evangelical",61
"628","Donald Trump","Evangelical",63
"629","Donald Trump","Evangelical",56
"630","Donald Trump","Evangelical",49
"631","Donald Trump","Evangelical",47
"632","Hillary Clinton","Evangelical",47
"633","Hillary Clinton","Evangelical",56
"634","Donald Trump","Evangelical",60
"635","Donald Trump","Evangelical",18
"636","Donald Trump","Evangelical",68
"637","Donald Trump","Evangelical",35
"638","Donald Trump","Evangelical",33
"639","Gary Johnson","Evangelical",32
"640","Hillary Clinton","Evangelical",32
"641","Donald Trump","Evangelical",77
"642","Donald Trump","Evangelical",74
"643","Donald Trump","Evangelical",75
"644","Donald Trump","Evangelical",76
"645","Donald Trump","Evangelical",79
"646","Donald Trump","Evangelical",82
"647","Donald Trump","Evangelical",83
"648","Hillary Clinton","Evangelical",57
"649","Donald Trump","Evangelical",64
"650","Donald Trump","Evangelical",60
"651","Hillary Clinton","Evangelical",53
"652","Gary Johnson","Evangelical",60
"653","Donald Trump","Evangelical",72
"654",NA,"Evangelical",67
"655","Donald Trump","Evangelical",76
"656","Hillary Clinton","Evangelical",68
"657","Donald Trump","Evangelical",76
"658","Donald Trump","Evangelical",83
"659","Donald Trump","Evangelical",65
"660","Donald Trump","Evangelical",73
"661","Donald Trump","Evangelical",70
"662","Donald Trump","Evangelical",64
"663","Donald Trump","Evangelical",45
"664","Donald Trump","Evangelical",55
"665",NA,"Evangelical",41
"666","Hillary Clinton","Evangelical",64
"667","Donald Trump","Evangelical",35
"668","Other","Evangelical",30
"669","Donald Trump","Evangelical",64
"670","Gary Johnson","Evangelical",59
"671","Hillary Clinton","Evangelical",60
"672","Donald Trump","Evangelical",59
"673","Donald Trump","Evangelical",63
"674","Donald Trump","Evangelical",63
"675","Donald Trump","Evangelical",73
"676","Hillary Clinton","Evangelical",76
"677","Donald Trump","Evangelical",68
"678","Donald Trump","Evangelical",67
"679","Donald Trump","Evangelical",80
"680",NA,"Evangelical",78
"681","Donald Trump","Evangelical",65
"682","Donald Trump","Evangelical",76
"683","Donald Trump","Evangelical",66
"684","Donald Trump","Evangelical",73
"685","Donald Trump","Evangelical",85
"686","Donald Trump","Evangelical",66
"687","Donald Trump","Evangelical",53
"688","Donald Trump","Evangelical",60
"689","Donald Trump","Evangelical",56
"690",NA,"Evangelical",26
"691","Hillary Clinton","Evangelical",55
"692","Donald Trump","Evangelical",54
"693","Hillary Clinton","Evangelical",56
"694","Donald Trump","Evangelical",53
"695","Donald Trump","Evangelical",48
"696","Donald Trump","Evangelical",61
"697","Donald Trump","Evangelical",76
"698","Donald Trump","Evangelical",68
"699","Gary Johnson","Evangelical",34
"700","Gary Johnson","Evangelical",38
"701","Hillary Clinton","Evangelical",69
"702","Donald Trump","Evangelical",24
"703",NA,"Evangelical",43
"704","Hillary Clinton","Evangelical",34
"705","Donald Trump","Evangelical",39
"706","Donald Trump","Evangelical",40
"707","Other","Evangelical",40
"708","Donald Trump","Evangelical",42
"709","Donald Trump","Evangelical",68
"710","Donald Trump","Evangelical",70
"711","Donald Trump","Evangelical",29
"712",NA,"Evangelical",28
"713",NA,"Evangelical",51
"714","Donald Trump","Evangelical",59
"715","Donald Trump","Evangelical",48
"716","Donald Trump","Evangelical",59
"717","Gary Johnson","Evangelical",49
"718","Donald Trump","Evangelical",58
"719","Hillary Clinton","Evangelical",67
"720","Donald Trump","Evangelical",74
"721","Donald Trump","Evangelical",72
"722","Donald Trump","Evangelical",66
"723","Hillary Clinton","Evangelical",67
"724","Hillary Clinton","Evangelical",71
"725","Hillary Clinton","Evangelical",83
"726","Donald Trump","Evangelical",64
"727","Hillary Clinton","Evangelical",57
"728","Hillary Clinton","Evangelical",27
"729","Donald Trump","Evangelical",48
"730","Other","Evangelical",70
"731","Other","Evangelical",38
"732","Donald Trump","Evangelical",57
"733","Donald Trump","Evangelical",71
"734",NA,"Evangelical",68
"735","Donald Trump","Evangelical",60
"736","Donald Trump","Evangelical",58
"737","Hillary Clinton","Evangelical",54
"738","Donald Trump","Evangelical",63
"739","Donald Trump","Evangelical",63
"740","Hillary Clinton","Evangelical",58
"741","Donald Trump","Evangelical",49
"742","Donald Trump","Evangelical",55
"743",NA,"Evangelical",62
"744","Donald Trump","Evangelical",79
"745","Donald Trump","Evangelical",66
"746","Gary Johnson","Evangelical",79
"747","Donald Trump","Evangelical",73
"748","Donald Trump","Evangelical",82
"749",NA,"Evangelical",67
"750","Donald Trump","Evangelical",67
"751",NA,"Evangelical",31
"752","Gary Johnson","Evangelical",54
"753","Donald Trump","Evangelical",63
"754","Other","Evangelical",56
"755","Donald Trump","Evangelical",56
"756","Donald Trump","Evangelical",63
"757","Donald Trump","Evangelical",48
"758","Hillary Clinton","Evangelical",45
"759","Donald Trump","Evangelical",56
"760","Donald Trump","Evangelical",53
"761","Hillary Clinton","Evangelical",77
"762","Hillary Clinton","Evangelical",68
"763","Hillary Clinton","Evangelical",60
"764","Donald Trump","Evangelical",33
"765","Donald Trump","Evangelical",67
"766","Hillary Clinton","Evangelical",23
"767","Donald Trump","Evangelical",64
"768","Donald Trump","Evangelical",60
"769","Donald Trump","Evangelical",48
"770","Donald Trump","Evangelical",54
"771","Donald Trump","Evangelical",54
"772","Donald Trump","Evangelical",48
"773",NA,"Evangelical",56
"774","Hillary Clinton","Evangelical",58
