"","religpew","pew_bornagain","pid7","race"
"732",10,2,1,1
"733",1,2,8,1
"734",3,2,7,1
"735",9,2,3,1
"736",2,1,7,1
"737",2,2,1,4
"738",9,2,4,3
"739",1,2,1,1
"740",1,2,5,1
"741",1,1,6,1
"742",1,1,3,1
"743",1,2,1,1
"744",11,2,1,1
"745",11,1,2,1
"746",9,2,1,1
"747",11,2,4,5
"748",11,2,1,2
"749",1,2,1,2
"750",1,1,1,4
"751",9,2,4,1
"752",12,2,5,1
"753",2,2,4,1
"754",2,2,7,1
"755",1,1,7,1
"756",2,2,7,5
"757",2,2,7,1
"758",1,1,8,1
"759",1,1,5,1
"760",1,2,1,1
"761",1,1,6,3
"762",1,2,7,1
"763",11,2,1,1
"764",1,1,7,1
"765",2,2,1,2
"766",2,2,2,1
"767",2,2,8,1
"768",1,1,5,1
"769",1,2,7,1
"770",9,2,3,1
"771",12,2,6,1
"772",10,2,3,1
"773",11,2,1,1
"774",11,2,4,1
"775",9,2,3,1
"776",9,2,1,1
"777",2,1,2,3
"778",2,2,5,1
"779",11,2,2,1
"780",1,2,2,1
"781",12,2,3,2
"782",2,2,1,1
"783",2,2,1,3
"784",1,1,4,1
"785",11,2,4,1
"786",1,2,7,1
"787",1,2,8,1
"788",1,2,5,1
"789",2,2,5,1
"790",1,2,3,1
"791",1,1,6,1
"792",12,2,1,2
"793",1,2,3,1
"794",11,2,1,1
"795",2,2,2,3
"796",1,1,5,1
"797",2,2,1,2
"798",2,2,4,1
"799",11,2,6,1
"800",1,1,7,1
"801",1,1,5,1
"802",1,1,1,2
"803",4,1,1,1
"804",9,2,1,1
"805",12,2,1,1
"806",12,2,4,7
"807",10,2,2,1
"808",2,2,1,1
"809",1,2,2,1
"810",1,2,3,1
"811",3,2,6,1
"812",2,2,3,1
"813",1,2,2,1
"814",11,2,1,1
"815",12,2,1,1
"816",12,2,4,7
"817",11,2,7,1
"818",6,2,1,2
"819",1,2,1,1
"820",11,2,8,1
"821",1,1,4,1
"822",11,2,1,1
"823",10,2,1,1
"824",2,2,7,1
"825",9,2,3,6
"826",1,1,5,1
"827",5,2,7,1
"828",1,2,3,2
"829",9,2,1,1
"830",10,2,3,1
"831",1,2,3,1
"832",11,2,4,1
"833",12,2,1,1
"834",7,2,3,1
"835",11,2,2,1
"836",1,1,2,1
"837",1,1,1,1
"838",9,2,1,1
"839",11,2,5,1
"840",11,2,3,1
"841",1,1,6,1
"842",1,1,7,3
"843",11,1,2,1
"844",12,1,7,1
"845",9,2,3,1
"846",1,1,3,1
"847",1,2,5,1
"848",11,2,4,1
"849",1,1,2,1
"850",12,2,4,1
"851",11,2,6,1
"852",11,2,7,1
"853",2,2,7,1
"854",12,2,3,1
"855",9,2,1,1
"856",2,2,4,1
"857",11,2,5,1
"858",1,2,4,1
"859",7,2,4,1
"860",11,2,1,1
"861",1,2,2,1
"862",5,2,4,1
"863",2,2,5,1
"864",11,2,3,1
"865",6,2,3,2
"866",12,1,1,1
"867",5,2,1,1
"868",1,1,7,7
"869",1,1,7,1
"870",10,2,2,2
"871",4,2,5,1
"872",1,2,3,1
"873",2,1,4,3
"874",9,2,5,1
"875",2,2,6,1
"876",2,2,1,1
"877",7,2,3,1
"878",11,2,3,1
"879",9,2,1,1
"880",1,1,3,1
"881",11,2,1,1
"882",11,2,3,1
"883",2,2,5,1
"884",1,1,1,2
"885",1,1,4,2
"886",3,2,5,1
"887",1,2,1,1
"888",5,2,8,1
"889",1,2,4,1
"890",1,1,2,2
"891",2,2,1,3
"892",1,1,4,1
"893",2,2,8,1
"894",11,1,5,7
"895",1,2,4,1
"896",3,2,5,1
"897",1,2,1,1
"898",1,1,7,1
"899",1,1,5,1
"900",1,2,1,2
"901",11,2,2,1
"902",3,1,8,1
"903",12,2,3,1
"904",5,2,1,1
"905",2,2,6,1
"906",2,1,2,1
"907",5,2,1,1
"908",1,1,4,6
"909",2,2,6,1
"910",11,2,1,1
"911",2,2,2,1
"912",1,1,6,1
"913",2,2,7,1
"914",1,2,3,1
"915",1,1,8,1
"916",12,2,5,1
"917",9,2,3,1
"918",11,2,4,1
"919",1,1,6,1
"920",1,2,5,1
"921",1,2,1,1
"922",2,2,4,1
"923",9,2,4,1
"924",1,1,5,2
"925",11,2,1,2
"926",1,2,5,1
"927",11,2,2,2
"928",1,1,3,1
"929",1,2,1,2
"930",2,2,4,1
"931",1,1,7,1
"932",1,1,7,1
"933",2,2,4,1
"934",2,2,6,1
"935",11,2,3,1
"936",12,2,7,1
"937",2,2,2,1
"938",9,2,5,1
"939",2,2,2,1
