"","religpew","pew_bornagain","pid7","race","inputstate","ideo5"
"276",1,1,7,1,48,4
"277",2,2,1,1,26,3
"278",2,2,5,1,34,3
"279",2,2,1,1,41,3
"280",1,1,7,1,31,5
"281",11,1,7,1,37,4
"282",1,2,5,1,48,3
"283",1,1,5,1,54,5
"284",12,2,5,1,21,4
"285",11,2,7,1,48,4
"286",1,2,6,1,51,4
"287",1,2,6,1,39,4
"288",12,2,1,1,36,2
"289",2,1,6,1,41,4
"290",10,2,1,1,37,3
"291",1,2,3,1,37,2
"292",1,1,6,1,6,4
"293",2,2,7,1,42,5
"294",9,2,1,6,6,2
"295",12,1,2,2,45,3
"296",2,2,8,1,37,6
"297",2,2,2,2,37,3
"298",9,2,1,1,6,1
"299",2,1,7,1,4,3
"300",2,1,7,1,12,4
"301",2,2,4,1,17,1
"302",11,2,3,1,29,1
"303",10,2,3,1,53,1
"304",4,2,1,2,51,1
"305",2,2,4,7,44,3
"306",10,2,4,1,39,5
"307",10,2,5,1,40,3
"308",3,2,7,1,49,5
"309",5,2,1,1,37,4
"310",1,1,7,1,48,4
"311",1,1,5,1,21,4
"312",10,2,4,4,6,6
"313",1,1,7,1,45,4
"314",2,2,1,1,17,1
"315",1,2,7,1,6,3
"316",10,2,1,1,48,2
"317",11,2,3,1,53,3
"318",1,2,5,6,17,4
"319",11,2,1,1,25,1
"320",1,2,2,2,6,4
"321",12,1,4,1,48,4
"322",1,2,7,1,37,4
"323",11,2,1,1,41,1
"324",1,2,5,3,35,3
"325",10,2,5,1,17,3
"326",2,2,6,1,6,4
"327",12,2,4,1,21,1
"328",10,2,1,1,29,1
"329",9,2,1,1,27,2
"330",12,2,1,1,35,1
"331",1,1,7,1,37,5
"332",1,2,4,1,39,3
"333",11,2,7,1,53,5
"334",1,1,1,6,51,2
"335",9,2,1,1,48,2
"336",11,2,4,1,6,3
"337",2,2,2,1,17,2
"338",11,2,5,1,6,4
"339",2,2,7,1,17,4
"340",9,2,1,1,6,2
"341",2,2,1,1,6,2
"342",1,2,1,1,37,2
"343",1,2,7,1,48,4
"344",10,2,1,1,16,2
"345",2,2,7,1,12,4
"346",1,2,3,1,24,2
"347",2,2,7,1,34,5
"348",11,2,6,1,46,4
"349",12,2,1,1,6,1
"350",1,1,6,6,32,4
"351",1,1,4,1,48,3
"352",9,2,1,1,53,2
"353",11,2,2,1,25,2
"354",2,2,6,1,51,3
"355",11,2,1,2,37,2
"356",1,1,1,2,37,1
"357",2,2,4,1,4,3
"358",1,1,2,1,29,2
"359",1,1,7,1,37,5
"360",2,2,4,1,9,3
"361",9,2,1,1,6,1
"362",11,2,6,1,12,3
"363",1,2,4,1,26,5
"364",2,2,6,1,34,5
"365",5,2,1,1,29,1
"366",5,2,2,1,8,2
"367",11,1,2,1,47,3
"368",2,2,2,1,34,3
"369",10,2,7,1,37,5
"370",1,1,3,1,42,3
"371",1,2,7,1,1,4
"372",5,2,3,1,42,3
"373",1,1,4,1,45,3
"374",2,2,6,1,37,3
"375",9,2,1,1,39,2
"376",1,2,7,1,19,4
"377",12,2,6,1,51,3
"378",1,2,1,2,18,2
"379",11,2,4,1,16,3
"380",11,2,1,2,13,1
"381",11,2,1,1,36,1
"382",1,2,4,1,46,3
"383",1,1,2,1,1,2
"384",2,2,1,1,26,2
"385",2,2,4,1,55,4
"386",1,2,1,1,29,3
"387",2,2,4,1,42,3
"388",1,1,4,1,37,3
"389",9,2,1,1,12,1
"390",2,2,2,1,27,2
"391",2,2,6,1,1,4
"392",2,2,6,1,19,4
"393",11,2,1,1,6,3
"394",11,2,1,1,55,1
"395",2,2,7,1,5,4
"396",1,2,4,1,6,3
"397",1,2,1,1,8,2
"398",9,2,1,1,6,1
"399",1,2,7,1,30,4
"400",2,2,7,1,13,4
"401",2,2,7,1,48,4
"402",1,2,4,1,39,3
"403",9,2,1,1,53,3
"404",2,2,7,1,6,4
"405",1,2,6,1,39,3
"406",1,2,1,2,37,2
"407",2,2,1,1,55,2
"408",3,2,2,1,49,4
"409",1,2,2,1,42,4
"410",11,2,7,1,4,4
"411",2,2,6,1,42,4
"412",11,2,2,1,17,3
"413",9,2,1,1,6,2
"414",9,2,4,1,42,2
"415",2,2,7,1,9,4
"416",9,2,1,1,36,3
"417",1,1,4,1,54,4
"418",2,2,7,1,6,4
"419",1,1,7,1,1,4
"420",1,1,1,1,39,1
"421",1,2,3,1,13,2
"422",1,1,7,1,32,2
"423",10,2,3,1,5,3
"424",1,2,1,1,55,2
"425",9,2,3,1,6,2
"426",1,1,7,1,38,3
"427",5,2,1,1,34,3
"428",1,2,1,1,26,2
"429",2,2,1,1,51,1
"430",11,2,1,1,8,2
"431",11,2,4,1,42,3
"432",10,2,3,1,32,3
"433",1,1,7,1,41,5
"434",1,2,7,7,8,4
"435",8,2,4,4,25,2
"436",2,2,1,3,48,2
"437",2,2,7,7,12,5
"438",2,2,1,2,48,4
"439",2,2,1,2,37,3
"440",11,2,3,1,8,3
"441",2,2,1,3,12,3
"442",1,1,7,1,20,4
"443",2,2,1,1,53,3
"444",2,2,7,1,39,4
"445",12,2,3,1,26,1
"446",5,2,1,1,17,2
"447",10,2,5,1,6,5
"448",1,2,7,1,51,4
"449",1,1,5,1,29,4
"450",1,1,7,1,45,5
"451",2,1,6,1,21,3
"452",2,2,5,1,12,4
"453",2,2,4,1,24,4
"454",1,2,6,1,4,4
"455",11,2,1,1,42,2
"456",1,1,7,1,21,4
"457",11,1,6,1,13,4
"458",2,2,6,1,47,4
"459",1,1,1,1,17,3
"460",12,2,5,1,12,4
"461",1,2,1,2,1,2
"462",1,1,6,1,22,5
"463",10,2,3,1,47,2
"464",1,2,7,1,48,4
"465",2,2,4,1,53,4
"466",2,2,1,1,29,1
"467",5,2,1,1,6,1
"468",2,2,3,3,18,3
"469",1,2,2,1,18,2
"470",1,2,5,1,12,4
"471",11,1,4,1,51,3
"472",11,1,4,1,55,3
"473",11,2,2,1,36,3
"474",11,2,2,2,42,2
"475",1,1,1,2,36,3
"476",11,1,7,1,41,5
"477",1,2,4,1,39,4
"478",9,2,3,1,32,3
"479",1,2,3,1,53,3
"480",1,2,3,1,45,3
"481",11,2,1,1,48,2
"482",5,2,6,1,13,4
"483",5,2,5,1,34,3
"484",12,2,1,2,45,1
"485",9,2,4,1,22,3
"486",5,2,1,1,34,3
"487",12,1,1,2,22,3
"488",2,2,1,1,1,2
"489",9,2,1,1,8,1
"490",2,2,4,1,39,3
"491",12,2,4,7,17,3
"492",1,2,4,5,27,4
"493",1,2,6,1,53,4
"494",2,2,1,1,4,2
"495",11,1,1,1,36,3
"496",11,2,1,1,21,2
"497",11,2,7,1,51,4
"498",9,2,3,1,19,1
"499",1,1,4,1,55,3
"500",2,2,6,1,20,3
"501",2,2,1,1,37,1
"502",9,2,4,1,6,2
"503",12,2,1,1,48,2
"504",11,2,4,1,36,3
"505",1,1,5,1,24,4
"506",2,2,1,1,8,2
"507",2,2,5,1,55,3
"508",2,2,1,1,6,2
"509",1,2,6,1,6,3
"510",5,2,1,1,12,6
"511",9,2,4,1,48,1
"512",11,2,1,1,6,2
"513",1,1,7,1,48,4
"514",12,1,7,1,8,5
"515",11,2,6,1,32,3
"516",1,1,7,1,47,5
"517",11,2,1,2,39,2
"518",10,2,1,5,42,3
"519",1,1,6,1,55,4
"520",12,1,7,1,26,4
"521",11,2,3,1,37,2
"522",1,1,1,1,20,3
"523",1,1,4,1,45,4
"524",2,2,7,1,17,5
"525",2,2,6,1,33,4
"526",11,1,7,1,18,5
"527",11,1,7,1,40,4
"528",1,2,2,1,39,2
"529",1,1,7,1,47,5
"530",1,1,4,1,6,4
"531",1,2,4,1,6,4
"532",2,2,6,1,36,5
"533",11,1,4,2,13,3
"534",1,2,1,1,42,2
"535",11,2,2,1,6,3
"536",1,1,5,1,24,4
"537",9,2,3,1,4,2
"538",1,2,6,1,24,3
"539",7,2,6,4,17,4
"540",10,2,1,1,24,1
"541",2,2,5,1,24,3
"542",1,1,7,1,22,5
"543",11,2,2,2,31,3
"544",1,1,7,1,37,4
"545",9,2,1,1,18,1
"546",1,2,7,1,42,5
"547",2,2,7,1,34,4
"548",1,1,5,1,6,3
"549",12,1,4,1,47,3
"550",1,1,7,1,20,4
"551",1,1,6,1,18,3
"552",2,2,6,1,24,3
"553",5,2,6,1,6,4
"554",12,2,1,1,36,3
"555",1,1,4,7,42,5
"556",10,2,1,1,39,2
"557",9,2,3,1,48,3
"558",1,2,2,1,4,4
"559",12,2,3,1,17,3
"560",5,2,3,1,25,3
"561",2,2,7,1,51,5
"562",2,2,1,1,18,2
"563",2,2,2,1,6,3
"564",1,1,3,6,48,2
"565",2,2,2,6,6,2
"566",1,1,3,1,26,1
"567",4,2,7,6,34,4
"568",2,2,3,1,12,6
"569",2,2,4,1,27,3
"570",1,1,7,1,42,4
"571",1,1,5,1,37,3
"572",1,2,2,1,12,3
"573",1,2,4,1,29,3
"574",10,2,2,1,26,2
"575",2,2,4,1,12,3
"576",1,2,5,1,25,3
"577",2,2,4,1,36,3
"578",11,2,2,1,12,3
"579",1,1,1,1,16,2
"580",1,2,7,1,36,3
"581",2,2,2,1,35,3
"582",9,2,4,6,12,3
"583",10,2,3,1,34,2
"584",10,2,1,1,17,2
"585",1,2,5,1,42,4
"586",1,2,1,1,6,5
"587",9,2,1,1,25,1
"588",10,2,1,1,35,2
"589",3,2,5,5,17,3
"590",2,2,4,1,17,3
"591",11,1,1,2,17,3
"592",11,2,1,2,48,1
"593",1,1,1,2,48,3
"594",1,2,1,2,24,1
"595",2,2,7,1,17,4
"596",2,2,4,1,37,4
"597",1,1,7,1,1,5
"598",10,2,1,1,4,1
"599",9,2,3,1,6,2
"600",1,2,6,6,6,4
"601",11,2,3,1,33,2
"602",2,2,4,1,12,3
"603",12,2,4,1,21,3
"604",9,2,4,1,18,3
"605",10,2,5,1,42,5
"606",11,2,6,1,26,4
"607",11,2,2,1,51,3
"608",11,2,1,1,17,1
"609",1,2,7,1,6,3
"610",1,2,7,1,24,5
"611",12,2,3,1,39,3
"612",2,2,2,1,6,3
"613",1,1,5,1,27,4
"614",10,2,1,1,33,2
"615",1,2,2,1,54,3
"616",1,2,7,1,4,4
"617",1,2,5,1,45,4
"618",11,1,6,1,13,3
"619",2,2,7,1,51,4
"620",1,1,7,1,21,4
"621",2,2,1,1,36,1
"622",3,1,7,6,47,4
"623",11,2,4,1,50,4
"624",2,2,5,1,24,3
"625",1,1,4,2,13,6
"626",1,2,2,1,53,2
"627",9,2,1,1,4,2
"628",3,2,7,1,49,4
"629",2,2,3,1,9,3
"630",5,2,1,1,50,2
"631",2,2,4,1,25,4
"632",1,2,4,2,6,3
"633",1,1,7,1,39,5
"634",2,2,3,1,12,4
"635",1,1,7,1,12,4
"636",1,1,1,1,37,1
"637",1,1,4,1,53,6
"638",1,1,3,1,28,2
"639",2,2,6,1,42,3
"640",1,2,7,1,6,4
"641",1,2,7,1,34,4
"642",2,2,3,1,6,3
"643",10,2,3,1,6,2
"644",1,2,1,1,55,3
"645",1,2,1,1,51,2
"646",10,2,1,1,39,2
"647",12,1,1,2,5,6
"648",1,1,5,1,1,5
"649",11,1,8,1,32,3
"650",1,1,6,1,44,3
"651",1,1,4,1,48,3
"652",10,2,4,1,33,3
"653",1,1,6,1,13,4
"654",2,2,5,1,17,3
"655",2,2,1,1,20,3
"656",2,2,2,1,13,2
"657",11,2,7,1,27,5
"658",2,2,1,1,34,2
"659",1,1,4,1,27,3
"660",1,1,6,1,45,4
"661",1,1,7,1,4,4
"662",2,2,8,1,45,4
"663",1,1,1,1,1,3
"664",10,2,6,1,36,3
"665",1,2,6,1,55,4
"666",5,2,3,1,39,2
"667",2,2,4,1,6,3
"668",1,2,1,1,41,2
"669",12,1,7,1,27,5
"670",1,2,5,1,26,5
"671",2,2,5,1,17,4
"672",9,2,2,1,27,2
"673",10,2,7,1,36,5
"674",1,1,7,1,48,5
"675",2,1,6,1,27,4
"676",1,1,1,2,17,5
"677",11,2,1,1,18,1
"678",11,2,7,1,16,4
"679",2,2,4,3,12,4
"680",5,2,4,1,47,3
"681",2,2,7,1,39,3
"682",11,2,2,1,45,2
"683",12,2,8,1,34,3
"684",12,2,3,1,25,1
"685",11,2,2,4,4,3
"686",1,1,7,1,6,3
"687",1,2,4,1,39,3
"688",1,1,1,1,13,2
"689",1,1,7,2,39,4
"690",1,1,6,1,6,4
"691",9,2,5,1,18,3
"692",1,2,7,1,48,4
"693",9,2,1,8,6,1
"694",2,2,8,4,6,6
"695",1,1,7,1,42,4
"696",9,2,1,4,36,2
"697",11,2,4,1,4,5
"698",1,2,1,2,48,5
"699",11,2,3,2,11,3
"700",9,2,1,1,48,2
"701",10,2,5,1,40,3
"702",9,2,6,1,48,3
"703",12,2,1,2,37,2
"704",7,2,7,4,6,5
"705",11,2,1,1,6,2
"706",10,2,3,1,17,1
"707",10,2,7,1,17,3
"708",9,2,1,1,41,1
"709",5,2,2,1,36,2
"710",5,1,1,1,34,2
"711",9,2,5,1,26,3
"712",2,2,4,1,53,4
"713",1,1,6,1,48,4
"714",5,2,1,1,36,2
"715",10,2,3,1,48,3
"716",11,2,3,1,6,1
"717",1,2,1,1,48,2
"718",2,2,1,1,39,2
"719",1,1,1,2,54,4
"720",2,2,1,2,6,2
"721",9,2,1,1,22,1
"722",11,2,1,1,24,2
"723",1,2,1,2,24,3
"724",1,2,1,2,36,1
"725",1,1,7,1,36,5
"726",11,2,3,1,44,2
"727",1,1,3,1,29,3
"728",1,2,6,1,39,4
"729",11,2,3,1,6,1
"730",1,2,6,1,6,4
"731",9,2,2,1,47,2
"732",10,2,1,1,39,2
"733",1,2,8,1,6,3
