"","evangelical","inputstate","pew_churatd"
"491",0,17,7
"492",0,27,2
"493",0,53,6
"494",0,4,5
"495",0,36,4
"496",0,21,5
"497",0,51,6
"498",0,19,6
"499",1,55,2
"500",0,20,4
"501",0,37,6
"502",0,6,6
"503",0,48,5
"504",0,36,6
"505",0,24,2
"506",0,8,5
"507",0,55,4
"508",0,6,5
"509",0,6,5
"510",0,12,5
"511",0,48,6
"512",0,6,6
"513",0,48,2
"514",0,8,1
"515",0,32,6
"516",1,47,1
"517",0,39,3
"518",0,42,5
"519",0,55,5
"520",1,26,2
"521",0,37,5
"522",1,20,5
"523",1,45,4
"524",0,17,1
"525",0,33,4
"526",0,18,4
"527",0,40,4
"528",1,39,3
"529",0,47,4
"530",1,6,6
"531",0,6,5
"532",0,36,1
"533",0,13,5
"534",0,42,6
"535",0,6,5
"536",1,24,2
"537",0,4,6
"538",0,24,5
"539",0,17,5
"540",0,24,6
"541",0,24,5
"542",1,22,2
"543",0,31,6
"544",0,37,2
"545",0,18,6
"546",0,42,5
"547",0,34,2
"548",1,6,4
"549",1,47,6
"550",0,20,3
"551",0,18,2
"552",0,24,3
"553",0,6,5
"554",0,36,6
"555",1,42,2
"556",1,39,4
"557",0,48,6
"558",0,4,5
"559",1,17,2
"560",0,25,6
"561",0,51,5
"562",0,18,4
"563",0,6,4
"564",1,48,1
"565",0,6,5
"566",0,26,2
"567",0,34,2
"568",0,12,5
"569",0,27,1
"570",0,42,2
"571",1,37,1
"572",0,12,6
"573",1,29,6
"574",0,26,5
"575",0,12,4
"576",1,25,5
"577",0,36,6
"578",0,12,6
"579",1,16,5
"580",0,36,5
"581",0,35,2
"582",0,12,6
"583",0,34,6
"584",0,17,5
"585",1,42,5
"586",1,6,3
"587",0,25,6
"588",0,35,6
"589",1,17,2
"590",0,17,2
"591",1,17,6
"592",1,48,6
"593",0,48,5
"594",0,24,5
"595",0,17,6
"596",0,37,6
"597",1,1,3
"598",0,4,6
"599",0,6,6
"600",0,6,6
"601",0,33,6
"602",0,12,2
"603",0,21,4
"604",0,18,6
"605",0,42,5
"606",0,26,6
"607",0,51,6
"608",1,17,6
"609",0,6,5
"610",0,24,5
"611",0,39,1
"612",0,6,3
"613",1,27,3
"614",0,33,6
"615",1,54,4
"616",1,4,5
"617",0,45,2
"618",0,13,5
"619",0,51,4
"620",1,21,2
"621",0,36,4
"622",0,47,2
"623",1,50,5
"624",0,24,2
"625",0,13,5
"626",1,53,3
"627",0,4,6
"628",0,49,2
"629",0,9,3
"630",0,50,6
"631",0,25,2
"632",1,6,5
"633",0,39,1
"634",0,12,6
"635",1,12,2
"636",0,37,2
"637",1,53,3
"638",1,28,5
"639",0,42,4
"640",0,6,5
"641",1,34,2
"642",0,6,1
"643",0,6,6
"644",0,55,4
"645",0,51,2
"646",0,39,6
"647",1,5,3
"648",1,1,1
"649",0,32,5
"650",0,44,2
"651",1,48,1
"652",0,33,5
"653",1,13,2
"654",0,17,2
"655",0,20,2
"656",0,13,5
"657",0,27,6
"658",0,34,3
"659",0,27,3
"660",1,45,1
"661",1,4,3
"662",0,45,5
"663",1,1,2
"664",0,36,5
"665",1,55,5
"666",0,39,3
"667",0,6,2
"668",1,41,4
"669",1,27,3
"670",0,26,1
"671",0,17,4
"672",0,27,5
"673",0,36,6
"674",1,48,1
"675",0,27,2
"676",0,17,2
"677",0,18,5
"678",0,16,4
"679",0,12,4
"680",0,47,3
"681",0,39,5
"682",0,45,5
"683",0,34,4
"684",0,25,5
"685",0,4,1
"686",1,6,5
"687",0,39,5
"688",1,13,2
"689",1,39,5
"690",1,6,2
"691",0,18,6
"692",0,48,5
"693",0,6,6
"694",0,6,2
"695",0,42,1
"696",0,36,6
"697",0,4,4
"698",1,48,2
"699",0,11,6
"700",0,48,6
"701",0,40,6
"702",0,48,6
"703",1,37,2
"704",0,6,5
"705",0,6,5
"706",0,17,6
"707",0,17,6
"708",0,41,6
"709",0,36,5
"710",0,34,6
"711",0,26,6
"712",0,53,4
"713",1,48,4
"714",0,36,6
"715",0,48,6
"716",0,6,5
"717",0,48,5
"718",0,39,4
"719",1,54,2
"720",0,6,2
"721",0,22,6
"722",0,24,6
"723",1,24,4
"724",0,36,2
"725",1,36,1
"726",1,44,6
"727",1,29,5
"728",0,39,6
"729",0,6,6
"730",0,6,5
"731",0,47,6
"732",0,39,5
"733",0,6,6
"734",0,15,2
"735",0,51,6
"736",0,41,3
"737",0,33,5
"738",0,6,6
"739",0,24,4
"740",1,47,7
"741",0,48,5
"742",1,22,1
"743",0,19,3
"744",0,37,5
"745",0,37,5
"746",0,6,6
"747",0,6,6
"748",1,55,1
"749",1,12,4
"750",0,48,2
"751",0,48,6
"752",0,25,5
"753",0,4,5
"754",0,42,2
"755",1,20,2
"756",0,25,5
"757",0,42,2
"758",1,26,2
"759",0,24,5
"760",0,18,5
"761",1,36,1
"762",1,21,5
"763",0,4,6
"764",1,51,2
"765",0,48,5
"766",0,32,5
"767",0,25,1
"768",0,26,2
"769",0,6,4
"770",0,32,6
"771",1,51,5
"772",0,37,6
"773",0,42,6
"774",0,36,6
"775",0,18,6
"776",0,6,6
"777",0,27,3
"778",0,45,5
"779",0,36,5
"780",1,32,5
"781",1,36,5
"782",0,39,6
"783",0,48,5
"784",1,41,1
"785",0,20,5
"786",0,48,2
"787",0,39,4
"788",1,4,5
"789",0,12,4
"790",0,36,4
"791",1,48,4
"792",1,45,6
"793",0,13,4
"794",0,51,6
"795",0,6,2
"796",1,12,2
"797",0,11,5
"798",0,24,2
"799",0,6,6
"800",1,41,5
"801",1,53,2
"802",1,36,2
"803",0,36,3
"804",0,55,5
"805",0,53,3
"806",0,29,2
"807",0,56,5
"808",0,12,4
"809",0,32,2
"810",0,48,5
"811",0,49,2
"812",0,27,6
"813",1,12,2
"814",0,6,5
"815",0,23,5
"816",0,6,6
"817",0,41,5
"818",0,17,4
"819",0,22,5
"820",0,54,3
"821",1,5,1
"822",0,13,5
"823",0,17,6
"824",0,20,2
"825",0,6,6
"826",1,12,4
"827",1,4,6
"828",1,12,1
"829",0,49,6
"830",0,51,5
"831",1,27,6
"832",0,39,4
"833",0,48,5
"834",0,55,3
"835",0,17,5
"836",0,21,2
"837",0,18,4
"838",0,42,6
"839",0,25,5
"840",0,12,6
"841",1,18,2
"842",1,6,2
"843",0,37,5
"844",0,6,2
"845",0,55,6
"846",1,12,5
"847",1,9,3
"848",0,48,6
"849",1,54,5
"850",0,41,1
"851",0,39,5
"852",0,6,6
"853",0,22,2
"854",1,4,3
"855",0,45,6
"856",0,27,2
"857",0,42,6
"858",1,19,3
"859",0,37,6
"860",0,29,6
"861",0,48,4
"862",0,12,2
"863",0,55,2
"864",0,51,6
"865",0,25,6
"866",0,40,5
"867",0,9,4
"868",0,42,5
"869",0,48,5
"870",0,12,6
"871",0,6,4
"872",0,42,5
